,category,num_Assay_Obs
296,hasCE_AGE_yrBIN_4_item_6344,49
297,hasCE_AGE_yrBIN_4_item_6345,49
298,hasCE_AGE_yrBIN_4_item_6419,47
299,hasCE_AGE_yrBIN_4_item_6346,49
300,hasCE_AGE_yrBIN_4_item_6347,49
301,hasCE_AGE_yrBIN_4_item_6066,73
302,hasCE_AGE_yrBIN_4_item_6624,73
303,hasCE_AGE_yrBIN_4_item_6626,73
304,hasCE_AGE_yrBIN_5_item_5230,1533
305,hasCE_AGE_yrBIN_5_item_5226,1533
306,hasCE_AGE_yrBIN_5_item_5218,1534
307,hasCE_AGE_yrBIN_5_item_5212,863
308,hasCE_AGE_yrBIN_5_item_5213,646
309,hasCE_AGE_yrBIN_5_item_5256,117
310,hasCE_AGE_yrBIN_5_item_5097,902
311,hasCE_AGE_yrBIN_5_item_5225,1531
312,hasCE_AGE_yrBIN_5_item_5059,169
313,hasCE_AGE_yrBIN_5_item_5224,1533
314,hasCE_AGE_yrBIN_5_item_5248,1531
315,hasCE_AGE_yrBIN_5_item_5238,669
316,hasCE_AGE_yrBIN_5_item_5215,1530
317,hasCE_AGE_yrBIN_5_item_5235,1533
318,hasCE_AGE_yrBIN_5_item_5236,669
319,hasCE_AGE_yrBIN_5_item_5245,256
320,hasCE_AGE_yrBIN_5_item_5114,898
321,hasCE_AGE_yrBIN_5_item_5099,902
322,hasCE_AGE_yrBIN_5_item_5257,1531
323,hasCE_AGE_yrBIN_5_item_5113,898
324,hasCE_AGE_yrBIN_5_item_5115,898
325,hasCE_AGE_yrBIN_5_item_5132,902
326,hasCE_AGE_yrBIN_5_item_6316,838
327,hasCE_AGE_yrBIN_5_item_5094,837
328,hasCE_AGE_yrBIN_5_item_5511,3
329,hasCE_AGE_yrBIN_5_item_5129,902
330,hasCE_AGE_yrBIN_5_item_5141,902
331,hasCE_AGE_yrBIN_5_item_5024,260
332,hasCE_AGE_yrBIN_5_item_5120,845
333,hasCE_AGE_yrBIN_5_item_5136,895
334,hasCE_AGE_yrBIN_5_item_5075,260
335,hasCE_AGE_yrBIN_5_item_5002,887
336,hasCE_AGE_yrBIN_5_item_5078,265
337,hasCE_AGE_yrBIN_5_item_5025,259
338,hasCE_AGE_yrBIN_5_item_5492,884
339,hasCE_AGE_yrBIN_5_item_5626,624
340,hasCE_AGE_yrBIN_5_item_5821,242
341,hasCE_AGE_yrBIN_5_item_5038,283
342,hasCE_AGE_yrBIN_5_item_5227,1526
343,hasCE_AGE_yrBIN_5_item_5174,558
344,hasCE_AGE_yrBIN_5_item_5186,558
345,hasCE_AGE_yrBIN_5_item_5161,551
346,hasCE_AGE_yrBIN_5_item_6165,8
347,hasCE_AGE_yrBIN_5_item_6183,0
348,hasCE_AGE_yrBIN_5_item_6095,0
349,hasCE_AGE_yrBIN_5_item_6193,10
350,hasCE_AGE_yrBIN_5_item_6393,20
351,hasCE_AGE_yrBIN_5_item_6392,20
352,hasCE_AGE_yrBIN_5_item_6396,20
353,hasCE_AGE_yrBIN_5_item_6395,20
354,hasCE_AGE_yrBIN_5_item_6394,20
355,hasCE_AGE_yrBIN_5_item_6397,20
356,hasCE_AGE_yrBIN_5_item_6398,20
357,hasCE_AGE_yrBIN_5_item_6400,20
358,hasCE_AGE_yrBIN_5_item_6401,20
359,hasCE_AGE_yrBIN_5_item_6406,20
360,hasCE_AGE_yrBIN_5_item_6403,20
361,hasCE_AGE_yrBIN_5_item_6352,0
362,hasCE_AGE_yrBIN_5_item_6349,20
363,hasCE_AGE_yrBIN_5_item_6348,20
364,hasCE_AGE_yrBIN_5_item_6334,62
365,hasCE_AGE_yrBIN_5_item_5832,24
366,hasCE_AGE_yrBIN_5_item_6098,24
367,hasCE_AGE_yrBIN_5_item_6340,20
368,hasCE_AGE_yrBIN_5_item_6338,20
369,hasCE_AGE_yrBIN_5_item_5047,37
370,hasCE_AGE_yrBIN_5_item_6342,20
371,hasCE_AGE_yrBIN_5_item_6343,20
372,hasCE_AGE_yrBIN_5_item_6344,20
373,hasCE_AGE_yrBIN_5_item_6345,20
374,hasCE_AGE_yrBIN_5_item_6419,20
375,hasCE_AGE_yrBIN_5_item_6346,20
376,hasCE_AGE_yrBIN_5_item_6347,20
377,hasCE_AGE_yrBIN_5_item_6066,44
378,hasCE_AGE_yrBIN_5_item_6624,44
379,hasCE_AGE_yrBIN_5_item_6626,44
380,hasCE_AGE_yrBIN_6_item_5230,1260
381,hasCE_AGE_yrBIN_6_item_5226,1260
382,hasCE_AGE_yrBIN_6_item_5218,1260
383,hasCE_AGE_yrBIN_6_item_5212,986
384,hasCE_AGE_yrBIN_6_item_5213,268
385,hasCE_AGE_yrBIN_6_item_5256,76
386,hasCE_AGE_yrBIN_6_item_5097,1018
